p_val	avg_log2FC	pct.1	pct.2	p_val_adj
si:ch211-207n23.2	4.18117736765199e-82	-1.57393267681549	0.002	0.458	8.36235473530398e-79
ckbb	4.35117342340304e-82	-1.83172172797062	0.157	0.626	8.70234684680607e-79
fmoda	5.54469553265848e-82	-1.62528259848052	0.058	0.535	1.1089391065317e-78
si:dkey-184p9.7	1.18869028902196e-81	-0.362403245123285	0.031	0.476	2.37738057804392e-78
pcna	2.01093668992374e-81	0.912503262964648	0.891	0.808	4.02187337984747e-78
col9a2	7.78076118095894e-81	-1.29775045667224	0.05	0.496	1.55615223619179e-77
tcf15	9.36357069348838e-81	-0.253027081477473	0.014	0.438	1.87271413869768e-77
im:7150988	1.45628644673123e-79	-0.687168383106726	0.022	0.451	2.91257289346246e-76
apoc1	3.9863157730737e-79	-1.60206414247993	0.02	0.467	7.9726315461474e-76
col11a2	6.18228805932493e-79	-0.706301254474561	0.011	0.438	1.23645761186499e-75
c3a.1	1.093323212365e-78	-0.463600450653566	0	0.399	2.18664642473001e-75
si:dkey-33i11.9	1.35031697283994e-78	-0.450629793224219	0.003	0.449	2.70063394567989e-75
gatm	2.37948933366628e-78	-0.502519250170699	0.017	0.475	4.75897866733256e-75
cpa5	3.69105654667825e-78	-1.60901978729162	0.005	0.472	7.3821130933565e-75
tnnt3b	4.97116016788637e-78	-1.48674190189995	0.165	0.618	9.94232033577275e-75
rhag	5.48843500852468e-78	-0.578237167071391	0.008	0.446	1.09768700170494e-74
hbegfa	1.91157259710491e-77	0.563164585509294	0.613	0.327	3.82314519420982e-74
insm1a	3.10366811259256e-77	-0.330823554803429	0.056	0.486	6.20733622518512e-74
hmgb2b	3.94008830250757e-77	0.619877782122149	0.989	0.932	7.88017660501514e-74
pvalb4	6.35053834367184e-77	-1.98026793321353	0.096	0.545	1.27010766873437e-73
krt17	6.69858117751215e-77	-3.22288631747625	0.173	0.616	1.33971623550243e-73
zgc:193505	7.50992301572338e-77	-1.48292551871826	0.106	0.55	1.50198460314468e-73
si:dkey-247k7.2	1.15815370171246e-76	-1.67488892232654	0.003	0.456	2.31630740342492e-73
mt-co3	1.42177654014873e-76	-0.844122116495563	1	0.997	2.84355308029745e-73
epdl1	1.54298169962467e-76	-0.953083572405643	0.005	0.463	3.08596339924935e-73
si:dkey-193p11.2	2.3097017100638e-76	-0.830293879503771	0.016	0.431	4.61940342012759e-73
cxl34b.11	2.66893980953394e-76	-0.738954294062298	0.017	0.445	5.33787961906787e-73
si:dkeyp-1h4.6	3.09111508436256e-76	-1.45624583676198	0.006	0.414	6.18223016872511e-73
