p_val	avg_log2FC	pct.1	pct.2	p_val_adj
evm.model.000393F-arrow-pilon.12.update	0.000177356056154719	-0.418518090964937	0.107	0.171	1
evm.model.000072F-arrow-pilon.46.update	0.000182722695400577	-0.531737585434071	0.074	0.128	1
evm.model.000070F-arrow-pilon.7.update	0.000183060184819022	0.632157221870592	0.211	0.155	1
evm.model.000246F-arrow-pilon.8.update	0.000216184220275105	-0.474253130730653	0.098	0.157	1
evm.model.000317F-arrow-pilon.20.update	0.000224611915874634	-0.361756196091944	0.084	0.141	1
evm.model.000168F-arrow-pilon.25.update	0.000238930503051781	-0.552210247132672	0.088	0.143	1
evm.model.000030F-arrow-pilon.12.update	0.000259795573855203	-0.461930811001886	0.076	0.131	1
evm.model.000268F-arrow-pilon.10.4.update	0.000324192874272623	-0.385607917332937	0.199	0.273	1
evm.model.000006F-arrow-pilon.126.update	0.000373620443658583	-0.463743586299599	0.059	0.106	1
evm.model.000660F-arrow-pilon.5.update	0.000454290913856408	1.07647118699282	0.25	0.205	1
evm.model.000273F-arrow-pilon.19.update	0.000476807859729251	-0.370833959225177	0.057	0.104	1
evm.model.000019F-arrow-pilon.4.update	0.000526582350382717	-0.431634593668676	0.072	0.123	1
evm.model.000027F-arrow-pilon.3.1.update	0.000588820667415314	-0.524772273448409	0.061	0.106	1
evm.model.000140F-arrow-pilon.13.update	0.000648296923411911	-0.322300991191596	0.062	0.11	1
evm.model.000362F-arrow-pilon.21.update	0.000653801173416958	-0.395544234403748	0.129	0.19	1
evm.model.000108F-arrow-pilon.39.update	0.000658123720735005	-0.279814989399563	0.117	0.179	1
evm.model.000597F-arrow-pilon.14.update	0.000661361917467773	-1.23022014934384	0.221	0.268	1
evm.model.000262F-arrow-pilon.34.update	0.000683480763343286	-0.303450786621313	0.064	0.111	1
evm.model.000497F-arrow-pilon.2.update	0.00072729533504494	0.32314362047589	0.1	0.063	1
evm.model.000001F-arrow-pilon.52.update	0.000761725469696907	-0.294370498711332	0.141	0.202	1
evm.model.000008F-arrow-pilon.115.update	0.000797038803981345	0.616635936744307	0.227	0.18	1
evm.model.000465F-arrow-pilon.11.update	0.00107966484936236	-0.472541417931724	0.154	0.217	1
evm.model.000030F-arrow-pilon.51.update	0.00125017444963311	-0.250271625153179	0.172	0.24	1
evm.model.000019F-arrow-pilon.28.update	0.00136191122497956	0.255825737174393	0.453	0.42	1
evm.model.000212F-arrow-pilon.23.update	0.0015653053706387	-0.268782938140292	0.076	0.123	1
evm.model.000346F-arrow-pilon.21.update	0.00171319575906323	-0.306632412488686	0.111	0.165	1
evm.model.000222F-arrow-pilon.28.update	0.00187223194825223	-0.316167260969247	0.094	0.142	1
evm.model.000854F-arrow-pilon.4.update	0.00203395105994479	-0.307224238250426	0.076	0.123	1
evm.model.000095F-arrow-pilon.3.update	0.0020823038069307	0.310434773941785	0.076	0.121	1
evm.model.000217F-arrow-pilon.23.update	0.00252683831650851	-0.34993864129906	0.062	0.104	1
evm.model.000437F-arrow-pilon.5.update	0.00281919594766903	-0.317810801214895	0.346	0.435	1
